time,levelname,message
2024-10-29 07:06:20 , INFO , Dash is running on http://127.0.0.1:8050/
2024-10-29 07:06:23 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:06:24 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:06:25 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:06:26 , INFO , Último sinal gerado: 0.0
2024-10-29 07:06:27 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:06:27 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:06:32 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:07:10 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:07:53 , INFO , Dash is running on http://127.0.0.1:8050/
2024-10-29 07:07:58 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:07:59 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:08:00 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:08:00 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:08:01 , INFO , Último sinal gerado: 0.0
2024-10-29 07:08:02 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:08:02 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:08:36 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:08:50 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:01 , INFO , Dash is running on http://127.0.0.1:8050/
2024-10-29 07:09:05 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:09:06 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:07 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:07 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:07 , INFO , Último sinal gerado: 0.0
2024-10-29 07:09:08 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:08 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:09:44 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:09:58 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:27 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:40 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:48 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:10:49 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:50 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:50 , INFO , Último sinal gerado: 0.0
2024-10-29 07:10:51 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:10:51 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:10:59 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:01 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:05 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:07 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:10 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:13 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:11:18 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:03 , INFO , Dash is running on http://127.0.0.1:8050/
2024-10-29 07:20:07 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:08 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:09 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:09 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:09 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:10 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:10 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:12 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:13 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:14 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:15 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:15 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:15 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:16 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:16 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:18 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:20 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:20 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:21 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:22 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:22 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:23 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:23 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:24 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:27 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:27 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:27 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:28 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:29 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:30 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:30 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:30 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:32 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:33 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:34 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:35 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:35 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:36 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:36 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:36 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:39 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:40 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:41 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:42 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:42 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:42 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:43 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:43 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:45 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:47 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:48 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:48 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:49 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:49 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:50 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:50 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:20:51 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:54 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:54 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:20:54 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:55 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:56 , INFO , Último sinal gerado: 0.0
2024-10-29 07:20:57 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:57 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:20:57 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:21:00 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:00 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:21:01 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:02 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:03 , INFO , Último sinal gerado: 0.0
2024-10-29 07:21:03 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:03 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:03 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:21:06 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:07 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:21:08 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:09 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:09 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:09 , INFO , Último sinal gerado: 0.0
2024-10-29 07:21:10 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:10 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:21:11 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:14 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:21:15 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:15 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:16 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:16 , INFO , Último sinal gerado: 0.0
2024-10-29 07:21:17 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:21:17 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:25:18 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:25:20 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:25:21 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:25:22 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:25:23 , INFO , Último sinal gerado: 0.0
2024-10-29 07:25:23 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:25:23 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:29:19 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:29:24 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:29:25 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:29:26 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:29:26 , INFO , Último sinal gerado: 0.0
2024-10-29 07:29:27 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:29:27 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:30:14 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:31:03 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:31:57 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:32:31 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:33:28 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:33:29 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:33:30 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:33:31 , INFO , Último sinal gerado: 0.0
2024-10-29 07:33:32 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:33:32 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:35:12 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:32 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:44 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:47 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:50 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:53 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:36:56 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:05 , INFO , Dash is running on http://127.0.0.1:8050/
2024-10-29 07:37:09 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:10 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:11 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:11 , INFO , Último sinal gerado: 0.0
2024-10-29 07:37:12 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:12 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:37:13 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:16 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:17 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:17 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:17 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:18 , INFO , Último sinal gerado: 0.0
2024-10-29 07:37:19 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:19 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:37:19 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:23 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:23 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:23 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:24 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:25 , INFO , Último sinal gerado: 0.0
2024-10-29 07:37:26 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:26 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:26 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:37:28 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:29 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:30 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:31 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:32 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:32 , INFO , Último sinal gerado: 0.0
2024-10-29 07:37:33 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:33 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:37:34 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:37 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:38 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:38 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:39 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:39 , INFO , Último sinal gerado: 0.0
2024-10-29 07:37:40 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:40 , INFO , Nenhuma ação necessária no momento.
2024-10-29 07:37:41 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:43 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
2024-10-29 07:37:43 , INFO , HTTP Request: GET https://api.bitpreco.com/btc-brl/ticker "HTTP/1.1 200 OK"
2024-10-29 07:37:44 , INFO , HTTP Request: POST https://api.bitpreco.com/v1/trading/balance "HTTP/1.1 200 OK"
